date,site.id,influx
2014-11-21,79,0
2014-11-21,85,0
2014-11-21,86,0
2014-11-21,89,36
2014-11-21,90,4
2014-11-21,100,0
2014-11-21,101,0
2014-11-21,102,0
2014-11-21,103,0
2014-11-21,105,7
2014-11-21,146,10
2014-11-21,147,0
2014-11-21,149,0
2014-11-21,150,2
2014-11-21,151,4
2014-11-22,1,50
2014-11-22,3,171
2014-11-22,5,0
2014-11-22,8,0
2014-11-22,10,0
2014-11-22,11,0
2014-11-22,14,0
2014-11-22,16,0
2014-11-22,17,0
2014-11-22,18,0
2014-11-22,20,0
2014-11-22,21,0
2014-11-22,22,0
2014-11-22,24,0
2014-11-22,25,0
2014-11-22,28,0
2014-11-22,34,0
2014-11-22,36,0
2014-11-22,37,0
2014-11-22,38,0
2014-11-22,39,0
2014-11-22,40,0
2014-11-22,47,0
2014-11-22,51,0
2014-11-22,53,0
2014-11-22,62,0
2014-11-22,63,0
2014-11-22,64,0
2014-11-22,66,3
2014-11-22,68,0
2014-11-22,69,0
2014-11-22,78,0
2014-11-22,79,0
2014-11-22,85,0
2014-11-22,86,0
2014-11-22,89,54
2014-11-22,90,0
2014-11-22,100,0
2014-11-22,101,0
2014-11-22,102,0
2014-11-22,103,0
2014-11-22,105,54
2014-11-22,146,3
2014-11-22,147,0
2014-11-22,149,0
2014-11-22,150,124
2014-11-22,151,0
2014-11-23,1,34
2014-11-23,3,90
2014-11-23,5,0
2014-11-23,8,0
2014-11-23,10,0
2014-11-23,11,0
2014-11-23,14,0
2014-11-23,16,0
2014-11-23,17,0
2014-11-23,18,0
2014-11-23,20,0
2014-11-23,21,0
2014-11-23,22,0
2014-11-23,24,0
2014-11-23,25,0
2014-11-23,28,0
2014-11-23,34,2
2014-11-23,36,0
2014-11-23,37,0
2014-11-23,38,0
2014-11-23,39,0
2014-11-23,40,0
2014-11-23,47,0
2014-11-23,51,0
2014-11-23,53,0
2014-11-23,62,0
2014-11-23,63,0
2014-11-23,64,0
2014-11-23,66,6
2014-11-23,68,0
2014-11-23,69,0
2014-11-23,78,0
2014-11-23,79,0
2014-11-23,85,0
2014-11-23,86,0
2014-11-23,89,9
2014-11-23,90,0
2014-11-23,100,0
2014-11-23,101,0
2014-11-23,102,0
2014-11-23,103,0
2014-11-23,105,169
2014-11-23,146,0
2014-11-23,147,0
